descrition,product_id,product_name,steps
"Mô tả: Là sự kết hợp tinh tế giữa trà xanh Thái Nguyên và hoa sen, với quy trình ướp công phu và công nghệ sản xuất hiện đại tạo ra một sản phẩm mang hương vị và nét riêng cho trà Việt. Khi pha trà có mùi thoảng nhẹ hương sen, màu xanh vàng, vị đắng hậu ngọt của trà xanh Thái Nguyên cùng vị ngọt dịu thanh mát của hoa sen.",tra-sen-thai-nguyen-phuc-long-100g,Trà sen Thái Nguyên,3
"Mô tả: Cà phê Moka thuộc dòng sản phẩm của Arabica, hạt có hình dáng thon dài và đường rãnh lượn sóng ở giữa hạt. Cà phê Moka có hương thơm nhẹ nhàng quyến rũ rất đặc trưng, vị từ chua chuyển sang hậu đắng rất đặc biệt. Khi pha cà phê có màu nâu nhạt sánh. Cà phê Moka sẽ là lựa chọn tuyệt vời cho những ai yêu thích cà phê sữa.",ca-phe-moka-phuc-long-co-bo-500g,Cà phê Moka có bơ,3
"Mô tả: Hương cà phê Arabica rất thơm, có vị chua, sau khi uống đọng lại cảm giác ngọt ở cổ họng. Arabica Cầu Đất có vị chua thanh xen lẫn với vị đắng nhẹ, nước pha màu nước nâu nhạt, trong trẻo của hổ phách. Mùi hương của Arabica rất thanh tao, quý phái, Arabica có mùi của si-rô, mùi của hoa trái, hòa quyện với mùi của mật ong, và cà mùi bánh mì nướng, mùi của cánh đồng rơm buổi trưa hè… Arabica chinh phục những con người sành điệu ẩm thực nhất trên thế giới.",ca-phe-arabica-culi-phuc-long-500g,Cà phê Arabica - Culi,3
"Mô tả: Hương cà phê Arabica rất thơm, có vị chua, sau khi uống đọng lại cảm giác ngọt ở cổ họng. Arabica Cầu Đất có vị chua thanh xen lẫn với vị đắng nhẹ, nước pha màu nước nâu nhạt, trong trẻo của hổ phách. Mùi hương của Arabica rất thanh tao, quý phái, Arabica có mùi của si-rô, mùi của hoa trái, hòa quyện với mùi của mật ong, và cà mùi bánh mì nướng, mùi của cánh đồng rơm buổi trưa hè… Arabica chinh phục những con người sành điệu ẩm thực nhất trên thế giới.",ca-phe-arabica-culi-phuc-long-200g,Cà phê Arabica - Culi,3
"Mô tả: Trà Ô Long Thượng Hạng lon thiếc không chỉ lưu giữ được hương vị tươi ngon của lá trà mà còn gửi gắm những giá trị truyền thống trong văn hoá thưởng trà của người Việt. Sản phẩm được đóng gói và thiết kế đẹp mắt, lịch sự, nhã nhặn phù hợp dùng làm quà biếu tri ân. Trao gửi những lon trà thắm đượm hồn dân tộc là một nét văn hoá cần được giữ gìn và phát huy trong thời đại ngày nay.",620,Trà Ô Long Thượng Hạng,3
"Mô tả: Trà lài là sự kết hợp hoàn hảo giữa lá trà xanh chất lượng cao và hoa lài. Trà có mùi thơm tự nhiên của hoa lài, màu vàng đẹp, vị ngọt của hoa lài và vị đắng nhẹ của trà tạo nên cảm giác khoan khoái và thư giãn cho người dùng.",tra-lai-15-phuc-long-200g,Trà Lài 15,3
"Mô tả: Trà lài là sự kết hợp hoàn hảo giữa lá trà xanh chất lượng cao và hoa lài. Trà có mùi thơm tự nhiên của hoa lài, màu vàng đẹp, vị ngọt của hoa lài và vị đắng nhẹ của trà tạo nên cảm giác khoan khoái và thư giãn cho người dùng.",tra-lai-15-phuc-long-500g,Trà Lài 15,3
"Mô tả: Trà Sen là sự kết hợp tinh tế giữa trà xanh và hoa sen với quy trình ướp công phu và công nghệ sản xuất hiện đại tạo ra một sản phẩm mang hương vị và nét riêng cho trà Việt. Khi pha trà có mùi thoảng nhẹ hương sen, màu xanh vàng, vị đắng nhẹ của trà cùng vị ngọt dịu thanh mát.",tra-sen-dac-biet-phuc-long-100g,Trà Sen Đặc Biệt,3
"Mô tả: Trà Sen là sự kết hợp tinh tế giữa trà xanh và hoa sen với quy trình ướp công phu và công nghệ sản xuất hiện đại tạo ra một sản phẩm mang hương vị và nét riêng cho trà Việt. Khi pha trà có mùi thoảng nhẹ hương sen, màu xanh vàng, vị đắng nhẹ của trà cùng vị ngọt dịu thanh mát.",tra-sen-dac-biet-phuc-long-200g,Trà Sen Đặc Biệt,3
"Mô tả: Trà Sen là sự kết hợp tinh tế giữa trà xanh và hoa sen với quy trình ướp công phu và công nghệ sản xuất hiện đại tạo ra một sản phẩm mang hương vị và nét riêng cho trà Việt. Khi pha trà có mùi thoảng nhẹ hương sen, màu xanh vàng, vị đắng nhẹ của trà cùng vị ngọt dịu thanh mát.",tra-sen-dac-biet-phuc-long-500g,Trà Sen Đặc Biệt,3
"Mô tả: Trà lài là sự kết hợp hoàn hảo giữa lá trà xanh chất lượng cao và hoa lài. Trà có mùi thơm tự nhiên của hoa lài, màu vàng đẹp, vị ngọt của hoa lài và vị đắng nhẹ của trà tạo nên cảm giác khoan khoái và thư giãn cho người dùng.",tra-lai-dac-biet-phuc-long-100g,Trà Lài Đặc Biệt,3
"Mô tả: Trà Ô Long Thượng Hạng lon thiếc không chỉ lưu giữ được hương vị tươi ngon của lá trà mà còn gửi gắm những giá trị truyền thống trong văn hoá thưởng trà của người Việt. Sản phẩm được đóng gói và thiết kế đẹp mắt, lịch sự, nhã nhặn phù hợp dùng làm quà biếu tri ân. Trao gửi những lon trà thắm đượm hồn dân tộc là một nét văn hoá cần được giữ gìn và phát huy trong thời đại ngày nay.",619,Trà Ô Long Thượng Hạng,3
"Mô tả: Hạt cà phê Culi là những hạt cà phê no tròn. Đặc biệt là trong một trái chỉ có duy nhất một hạt. Vị đắng gắt, hương thơm say đắm, hàm lượng cafein cao, nuớc màu đen sánh đó là những gì mà Culi mang đến. Đó là quá trình kết hợp tinh túy của sự duy nhất.",ca-phe-culi-phuc-long-500g,Cà Phê Culi,3
"Mô tả: Hạt cà phê Culi là những hạt cà phê no tròn. Đặc biệt là trong một trái chỉ có duy nhất một hạt. Vị đắng gắt, hương thơm say đắm, hàm lượng cafein cao, nuớc màu đen sánh đó là những gì mà Culi mang đến. Đó là quá trình kết hợp tinh túy của sự duy nhất.",ca-phe-culi-phuc-long-200g,Cà Phê Culi,3
Mô tả:,ca-phe-moka-khong-bo-200g,Cà phê Moka không bơ,3
"Mô tả: Cà phê Moka thuộc dòng sản phẩm của Arabica, hạt có hình dáng thon dài và đường rãnh lượn sóng ở giữa hạt. Cà phê Moka có hương thơm nhẹ nhàng quyến rũ rất đặc trưng, vị từ chua chuyển sang hậu đắng rất đặc biệt. Khi pha cà phê có màu nâu nhạt sánh. Cà phê Moka sẽ là lựa chọn tuyệt vời cho những ai yêu thích cà phê sữa.",ca-phe-moka-khong-bo-500g,Cà phê Moka không bơ,3
"Mô tả: Hạt Cafe Robusta nhỏ hơn Arabica, vị đắng gắt, nhiều cafeine, loại này uống phê hơn. Hạt cà phê Robusta hình bàn cầu tròn và thường là 2 hạt trong 1 trái. Trải qua quá trình chế biến trên dây chuyền thiết bị hiện đại với công nghệ cao tạo cho loại cà phê Robusta có mùi thơm dịu, vị đắng gắt, nước có màu nâu sánh, không chua, hàm lượng cafein vừa đủ đã tạo nên một loại cà phê đặc sắc phù hợp với khẩu vị của người dân Việt Nam.",ca-phe-robusta-khong-bo-500g,Cà phê Robusta không bơ,3
"Mô tả: Hạt Cafe Robusta nhỏ hơn Arabica, vị đắng gắt, nhiều cafeine, loại này uống phê hơn. Hạt cà phê Robusta hình bàn cầu tròn và thường là 2 hạt trong 1 trái. Trải qua quá trình chế biến trên dây chuyền thiết bị hiện đại với công nghệ cao tạo cho loại cà phê Robusta có mùi thơm dịu, vị đắng gắt, nước có màu nâu sánh, không chua, hàm lượng cafein vừa đủ đã tạo nên một loại cà phê đặc sắc phù hợp với khẩu vị của người dân Việt Nam.",ca-phe-robusta-khong-bo-200g,Cà phê Robusta không bơ,3
"Mô tả: Cà phê King là sự kết hợp hài hòa giữa 3 loại hạt Arabica, Robusta và Culi. Hương thơm nồng và vị cà phê mạnh mẽ, màu đen sánh đậm.",ca-phe-king-khong-bo-500g,Cà phê King không bơ,3
"Mô tả: Cà phê King là sự kết hợp hài hòa giữa 3 loại hạt Arabica, Robusta và Culi. Hương thơm nồng và vị cà phê mạnh mẽ, màu đen sánh đậm.",ca-phe-king-khong-bo-200g,Cà phê King không bơ,3
"Mô tả: Sau khi pha chế, sản phẩm có nước pha màu nâu cánh gián đậm đẹp mắt với mùi thơm nhẹ, vị đắng đặc trưng của cà phê Việt Nam. Cà phê Royal được sản xuất từ những hạt cà phê được tuyển chọn kĩ càng và sản xuất theo dây chuyền công nghệ hiện đại và bí quyết riêng không thể sao chép cho hương thơm nhẹ nhàng quyến rũ. Bột cà phê không xay nhuyễn để khi pha giữ được vị ngon đậm đà thượng hạng mà vẫn thanh thoát đầy lôi cuốn.",ca-phe-royal-khong-bo-phuc-long-500g,Cà phê Royal không bơ,3
Mô tả: Cà phê Robusta kết hợp cùng Culi cho vị ngon đậm đà thượng hạng mà vẫn thanh thoát đầy lôi cuốn.,ca-phe-robusta-culi-phuc-long-200g,Cà phê Robusta - Culi,3
"Mô tả: Sau khi pha chế, sản phẩm có nước pha màu nâu cánh gián đậm đẹp mắt với mùi thơm nhẹ, vị đắng đặc trưng của cà phê Việt Nam. Cà phê Royal được sản xuất từ những hạt cà phê được tuyển chọn kĩ càng và sản xuất theo dây chuyền công nghệ hiện đại và bí quyết riêng không thể sao chép cho hương thơm nhẹ nhàng quyến rũ. Bột cà phê không xay nhuyễn để khi pha giữ được vị ngon đậm đà thượng hạng mà vẫn thanh thoát đầy lôi cuốn.",ca-phe-royal-khong-bo-phuc-long-200g,Cà phê Royal không bơ,3
Mô tả: Cà phê Robusta kết hợp cùng Culi cho vị ngon đậm đà thượng hạng mà vẫn thanh thoát đầy lôi cuốn.,ca-phe-robusta-culi-phuc-long-500g,Cà phê Robusta - Culi,3
"Mô tả: Cà phê Moka Blend là sự kết hợp của Robusta, Moka, Culi và Cherry tạo ra hương vị cà phê có một không hai gây ấn tượng từ mùi hương gợi cảm đến vị đắng dễ chịu và dư vị tinh tế.",ca-phe-moka-blend-co-bo-phuc-long-200g,Cà phê Moka Blend có bơ,3
"Mô tả: Hạt cà phê Cherry mang một đặc điểm và hương vị rất khác lạ của một loài cây trưởng thành dưới nắng và gió của Cao Nguyên. Hạt cà phê vàng, sáng bóng rất đẹp. Khi pha tạo ra mùi thơm thoang thoảng, đặc biệt là vị chua của cherry tạo ra một cảm giác thật sảng khoái. Cherry rất thích hợp với sở thích của phái nữ với sự hòa quyện giữa mùi và vị tạo ra một cảm giác dân dã, cao sang quý phái hòa quyện nhau thât sâu sắc.",ca-phe-cherry-phuc-long-200g,Cà phê Cherry,3
"Mô tả: Cà phê Moka Blend là sự kết hợp của Robusta, Moka, Culi và Cherry tạo ra hương vị cà phê có một không hai gây ấn tượng từ mùi hương gợi cảm đến vị đắng dễ chịu và dư vị tinh tế.",ca-phe-moka-blend-co-bo-phuc-long-500g,Cà phê Moka Blend có bơ,3
"Mô tả: Hạt cà phê Robusta có hình tròn với đường rảnh thẳng ở giữa hạt. Cà phê Robusta có mùi thơm dịu, vị đắng, đậm, vị chát, nước có màu nâu sánh, ít chua mang lại sự hứng khởi và sáng tạo cho người dùng.",ca-phe-robusta-co-bo-phuc-long-500g,Cà phê Robusta có bơ,3
"Mô tả: Cà phê King là sự kết hợp hài hòa giữa 3 loại hạt Arabica, Robusta và Culi. Hương thơm nồng và vị cà phê mạnh mẽ, màu đen sánh đậm.",ca-phe-king-co-bo-phuc-long-500g,Cà phê King có bơ,3
"Mô tả: Hạt cà phê Robusta có hình tròn với đường rảnh thẳng ở giữa hạt. Cà phê Robusta có mùi thơm dịu, vị đắng, đậm, vị chát, nước có màu nâu sánh, ít chua mang lại sự hứng khởi và sáng tạo cho người dùng.",ca-phe-robusta-co-bo-phuc-long-200g,Cà phê Robusta có bơ,3
"Mô tả: Sau khi pha chế, sản phẩm có nước pha màu nâu cánh gián đậm đẹp mắt với mùi thơm nhẹ, vị đắng đặc trưng của cà phê Việt Nam. Cà phê Royal được sản xuất từ những hạt cà phê được tuyển chọn kĩ càng và sản xuất theo dây chuyền công nghệ hiện đại và bí quyết riêng không thể sao chép cho hương thơm nhẹ nhàng quyến rũ. Bột cà phê không xay nhuyễn để khi pha giữ được vị ngon đậm đà thượng hạng mà vẫn thanh thoát đầy lôi cuốn.",ca-phe-royal-co-bo-phuc-long-500g,Cà phê Royal có bơ,3
"Mô tả: Cà phê King là sự kết hợp hài hòa giữa 3 loại hạt Arabica, Robusta và Culi. Hương thơm nồng và vị cà phê mạnh mẽ, màu đen sánh đậm.",ca-phe-king-co-bo-phuc-long-200g,Cà phê King có bơ,3
"Mô tả: Sau khi pha chế, sản phẩm có nước pha màu nâu cánh gián đậm đẹp mắt với mùi thơm nhẹ, vị đắng đặc trưng của cà phê Việt Nam. Cà phê Royal được sản xuất từ những hạt cà phê được tuyển chọn kĩ càng và sản xuất theo dây chuyền công nghệ hiện đại và bí quyết riêng không thể sao chép cho hương thơm nhẹ nhàng quyến rũ. Bột cà phê không xay nhuyễn để khi pha giữ được vị ngon đậm đà thượng hạng mà vẫn thanh thoát đầy lôi cuốn.",ca-phe-royal-co-bo-phuc-long-200g,Cà phê Royal có bơ,3
"Mô tả: Trà Nõn Tôm là loại trà thượng hạng được vun trồng tại vùng đất Tân Cương - Thái Nguyên. Xuyên suốt quá trình chế biến được thực hiện tỉ mỉ và chuẩn xác, từ thu hái và sao chế hoàn toàn bằng phương pháp thủ công nhằm gìn giữ đặc tính thượng hạng của lá trà. Khi pha tạo nên chất trà vàng xanh thắm đượm xen lẫn vị chát dịu, đậm đà, hoà quyện cùng hương thơm cốm mới thuần khiết.",tra-non-tom-tui-tam-giac,Trà Nõn Tôm ủ lạnh túi tam giác,3
"Mô tả: Trà Lài ủ lạnh được chế biến từ lá trà thượng hạng cùng hương hoa lài tự nhiên. Trải qua quy trình sản xuất khép kín, đảm bảo cho trà có thể hoà quyện cả hương lẫn vị. ",tra-lai-u-lanh-tui-tam-giac,Trà Lài ủ lạnh túi tam giác,3
"Mô tả: Trà Ô long là một giống trà có hương vị đặc trưng được biết đến như một đại danh trà. Trà Ô long được thu hoạch theo nguyên lý “1 búp 3 lá” chế biến độc đáo với cách thức bán lên men tự nhiên, khi thấy màu lá chuyển sang ba phần đỏ bảy phần đen là thời điểm ủ tốt nhất để có được mùi vị thơm ngon nhất. Khi pha trà có sắc xanh tươi mát hòa quyện cùng hương hoa cỏ thoang thoảng khiến tâm hồn thêm thư thái. Dư vị hậu đắng sau khi dùng của trà mang lại cho người dùng một trải nghiệm tinh tế về trà.",tra-o-long-tui-tam-giac-phuc-long,Trà ô long túi tam giác,3
"Mô tả: Trà xanh là thức uống truyền thống của người Châu Á từ ngàn xưa đến nay. Trà xanh được trồng tại khu vực Lâm Đồng nơi có khí hậu và thổ nhưỡng thích hợp để có được những cây trà phẩm chất tốt nhất, trà xanh được chế biến ngay sau khi thu hái để ngăn chặn quá trình lên men, giữ màu tự nhiên của lá trà cùng hương vị thuần nguyên. Trà xanh có màu vàng xanh, vị đắng, chát nhẹ khi uống và hương thơm tự nhiên.",tra-xanh-tui-tam-giac-phuc-long,Trà Xanh túi tam giác,3
"Mô tả: Trà Sen là sự kết hợp tinh tế giữa trà xanh và hoa sen với quy trình ướp công phu và công nghệ sản xuất hiện đại tạo ra một sản phẩm mang hương vị và nét riêng cho trà Việt. Khi pha trà có mùi thoảng nhẹ hương sen, màu xanh vàng, vị đắng nhẹ của trà cùng vị ngọt dịu thanh mát.",tra-sen-tui-tam-giac-phuc-long,Trà Sen túi tam giác,3
"Mô tả: Trà lài là sự kết hợp hoàn hảo giữa lá trà xanh chất lượng cao và hoa lài. Trà có mùi thơm tự nhiên của hoa lài, màu vàng đẹp, vị ngọt của hoa lài và vị đắng nhẹ của trà tạo nên cảm giác khoan khoái và thư giãn cho người dùng.",tra-lai-tui-tam-giac-phuc-long,Trà Lài túi tam giác,3
"Mô tả: Trà lài là sự kết hợp hoàn hảo giữa lá trà xanh chất lượng cao và hoa lài. Trà được lên men và pha trộn với hoa lài, quá trình này được lặp lại nhiều lần giúp cho trà có mùi thơm tự nhiên của hoa lài, trà lài khi pha có màu vàng đẹp, vị ngọt của hoa lài và vị đắng nhẹ của trà tạo nên cảm giác khoan khoái và thư giãn cho người dùng.",tra-lai-lon-giay-phuc-long-100g,Trà lài lon giấy,3
"Mô tả: Trà sen là sự kết hợp tinh tế giữa trà xanh và hoa sen với quy trình ướp công phu và công nghệ sản xuất hiện đại tạo ra một sản phẩm mang hương vị và nét riêng cho trà Việt. Khi pha trà có mùi thoảng nhẹ hương sen, màu xanh vàng, vị đắng nhẹ của trà cùng vị ngọt dịu thanh mát.",tra-sen-lon-giay,Trà sen lon giấy,3
"Mô tả: Trà xanh là thức uống truyền thống của người Châu Á từ ngàn xưa đến nay. Trà xanh được trồng tại khu vực Lâm Đồng nơi có khí hậu và thổ nhưỡng thích hợp để có được những cây trà phẩm chất tốt nhất, trà xanh được chế biến ngay sau khi thu hái để ngăn chặn quá trình lên men, giữ màu tự nhiên của lá trà cùng hương vị thuần nguyên. Trà xanh có màu vàng xanh, vị đắng, chát nhẹ khi uống và hương thơm tự nhiên.",tra-xanh-lon-giay-phuc-long-100g,Trà xanh lon giấy,3
"Mô tả: Trà xanh Tân Cương (Thái Nguyên) có màu vàng xanh nhạt vị chát dịu, thơm mùi hương cốm và hậu vị ngọt sâu đặc trưng thích hợp cho người muốn tìm những trải nghiệm truyền thống về trà.",tra-xanh-tan-cuong-dac-biet-phuc-long-200g,Trà Xanh Tân Cương Đặc Biệt,3
"Mô tả: Trà xanh được trồng tại nơi có khí hậu và thổ nhưỡng thích hợp để có được những cây trà phẩm chất tốt nhất, thông qua sàng lọc và lựa chọn ra những đọt trà non tươi ngon nhất để chế biến thành sản phẩm chính vì vậy nên chất lượng của trà luôn được đảm bảo tốt nhất. Trà được phơi khô không qua công đoạn lên men nhằm mang lại hương vị thiên nhiên khi dùng, trà có màu xanh vàng và vị đắng chát mạnh.",tra-xanh-15-phuc-long-200g,Trà Xanh 15,3
"Mô tả: Trà xanh Tân Cương (Thái Nguyên) có màu vàng xanh nhạt vị chát dịu, thơm mùi hương cốm và hậu vị ngọt sâu đặc trưng thích hợp cho người muốn tìm những trải nghiệm truyền thống về trà.",tra-xanh-tan-cuong-dac-biet-phuc-long-100g,Trà Xanh Tân Cương Đặc Biệt,3
"Mô tả: Trà xanh Tân Cương (Thái Nguyên) có màu vàng xanh nhạt vị chát dịu, thơm mùi hương cốm và hậu vị ngọt sâu đặc trưng thích hợp cho người muốn tìm những trải nghiệm truyền thống về trà.",tra-xanh-tan-cuong-dac-biet-phuc-long-500g,Trà Xanh Tân Cương Đặc Biệt,3
"Mô tả: Trà xanh được trồng tại nơi có khí hậu và thổ nhưỡng thích hợp để có được những cây trà phẩm chất tốt nhất, thông qua sàng lọc và lựa chọn ra những đọt trà non tươi ngon nhất để chế biến thành sản phẩm chính vì vậy nên chất lượng của trà luôn được đảm bảo tốt nhất. Trà được phơi khô không qua công đoạn lên men nhằm mang lại hương vị thiên nhiên khi dùng, trà có màu xanh vàng và vị đắng chát mạnh.",tra-xanh-15-phuc-long-500g,Trà Xanh 15,3
"Mô tả: Trà lài là sự kết hợp hoàn hảo giữa lá trà xanh chất lượng cao và hoa lài. Trà có mùi thơm tự nhiên của hoa lài, màu vàng đẹp, vị ngọt của hoa lài và vị đắng nhẹ của trà tạo nên cảm giác khoan khoái và thư giãn cho người dùng.",tra-lai-tui-loc-phuc-long,Trà Lài túi lọc,3
"Mô tả: Trà đào được ướp từ trà đen và chiết xuất của hương đào tự nhiên, thông qua quy trình sản xuất hiện đại cho ra những sản phẩm trà thơm ngon, khi pha trà phảng phất hương thơm của đào, trà có màu hung đỏ và vị ngọt thanh.",tra-dao-tui-loc-phuc-long,Trà đào túi lọc,3
Mô tả: Trà Ô long là dòng trà có hương vị tinh tế được biết đến như một đại danh trà. Trà Ô long khi pha có sắc xanh tươi mát hòa quyện cùng hương hoa cỏ thoang thoảng khiến tâm hồn thêm thư thái. Dư vị hậu đắng sau khi dùng của trà mang lại cho người dùng một trải nghiệm tinh tế về trà.,tra-o-long-tui-loc-phuc-long,Trà ô long túi lọc,3
"Mô tả: Trà xanh là thức uống truyền thống của người Châu Á từ ngàn xưa đến nay. Trà xanh được trồng tại khu vực Lâm Đồng nơi có khí hậu và thổ nhưỡng thích hợp để có được những cây trà phẩm chất tốt nhất, trà xanh được chế biến ngay sau khi thu hái để ngăn chặn quá trình lên men, giữ màu tự nhiên của lá trà cùng hương vị thuần nguyên. Trà xanh có màu vàng xanh, vị đắng, chát nhẹ khi uống và hương thơm tự nhiên.",tra-xanh-tui-loc-phuc-long,Trà xanh túi lọc,3
"Mô tả: Trà đen là trà xanh khi thu hoạch và được ủ lên men sau khi phơi khô. Phản ứng lên men giúp trà đen có mùi thơm đặc biệt và lá trà có màu sậm, từ đỏ hung đến đen tuyền. Trà đen với hậu vị chát đậm, khi uống chất trà thấm vào cơ thể nhẹ nhàng đánh thức các giác quan, tạo tâm trạng sảng khoái.",hong-tra-tui-loc-phuc-long,Hồng Trà túi lọc,3
"Mô tả: Trà vải được ướp từ trà đen và chiết xuất của hương vải tự nhiên, thông qua quy trình sản xuất hiện đại cho ra những sản phẩm trà thơm ngon, khi pha trà phảng phất hương thơm của vải, trà có màu hung đỏ và vị ngọt thanh.",tra-vai-tui-loc-phuc-long-hop-8-goi,Trà Vải túi lọc,3
"Mô tả: Trà đen là trà xanh khi thu hoạch và được ủ lên men sau khi phơi khô. Phản ứng lên men giúp trà đen có mùi thơm đặc biệt và lá trà có màu sậm, từ đỏ hung đến đen tuyền. Trà đen với hậu vị chát đậm, khi uống chất trà thấm vào cơ thể nhẹ nhàng đánh thức các giác quan, tạo tâm trạng sảng khoái.",tra-den-phuc-long-200g,Trà Đen,3
"Mô tả: Trà Sen là sự kết hợp tinh tế giữa trà xanh và hoa sen với quy trình ướp công phu và công nghệ sản xuất hiện đại tạo ra một sản phẩm mang hương vị và nét riêng cho trà Việt. Khi pha trà có mùi thoảng nhẹ hương sen, màu xanh vàng, vị đắng nhẹ của trà cùng vị ngọt dịu thanh mát.",tra-sen-tui-loc-phuc-long,Trà sen túi lọc,3
"Mô tả: Trà hoa hồng là sự kết hợp mới lạ, độc đáo giữa trà đen và hoa hồng thông qua quy trình ủ men diễn ra khá lâu nên trà có mùi hương rất đặc biệt, vừa nồng nàn mùi trà vừa phảng phất hương hoa hồng dịu nhẹ, khi pha trà có sắc đỏ nâu và vị chát của trà đen cùng vị ngọt nhẹ của hoa hồng.",tra-hoa-hong-tui-loc-phuc-long,Trà Hoa Hồng túi lọc,3
"Mô tả: Trà đen là trà xanh khi thu hoạch và được ủ lên men sau khi phơi khô. Phản ứng lên men giúp trà đen có mùi thơm đặc biệt và lá trà có màu sậm, từ đỏ hung đến đen tuyền. Trà đen với hậu vị chát đậm, khi uống chất trà thấm vào cơ thể nhẹ nhàng đánh thức các giác quan, tạo tâm trạng sảng khoái.",tra-den-phuc-long-500g,Trà Đen,3
